7.356719,5.147644,Aba Nigeria Temple,"<a href=""http://www.ldschurchtemples.com/aba/""><img src=""http://www.ldschurchtemples.com/aba/images/aba-mormon-temple-thumb.jpg""></a><BR><BR>Okpu-Umuoba Road<BR>Off Aba-Owerri Road at Union Bank<BR>Aba, Abia State<BR>Nigeria<BR>Phone:&nbsp; (234) 803-903-4804<BR><a href=""http://www.ldschurchtemples.com/aba/"">Information</a><BR>"
-0.193706,5.56749,Accra Ghana Temple,"<a href=""http://www.ldschurchtemples.com/accra/""><img src=""http://www.ldschurchtemples.com/accra/images/accra-mormon-temple-thumb.jpg""></a><BR><BR>57 Independence Avenue<BR>North Ridge<BR>PMB CT 209, Cantonments<BR>Accra<BR>Ghana<BR>Phone:&nbsp; (233) 302-650-113<BR><a href=""http://www.ldschurchtemples.com/accra/"">Information</a><BR>"
138.635002,-34.892473,Adelaide Australia Temple,"<a href=""http://www.ldschurchtemples.com/adelaide/""><img src=""http://www.ldschurchtemples.com/adelaide/images/adelaide-mormon-temple-thumb.jpg""></a><BR><BR>53-59 Lower Portrush Road<BR>Marden, South Australia<BR>Australia<BR>Phone:&nbsp; (61) 8-8363-8000<BR><a href=""http://www.ldschurchtemples.com/adelaide/"">Information</a><BR>"
-106.525301,35.167684,Albuquerque New Mexico Temple,"<a href=""http://www.ldschurchtemples.com/albuquerque/""><img src=""http://www.ldschurchtemples.com/albuquerque/images/albuquerque-mormon-temple-thumb.jpg""></a><BR><BR>10301 San Francisco Drive NE<BR>Albuquerque, New Mexico<BR>United States<BR>Phone:&nbsp; 505-822-5110<BR><a href=""http://www.ldschurchtemples.com/albuquerque/"">Information</a><BR>"
-149.840512,61.101627,Anchorage Alaska Temple,"<a href=""http://www.ldschurchtemples.com/anchorage/""><img src=""http://www.ldschurchtemples.com/anchorage/images/anchorage-mormon-temple-thumb.jpg""></a><BR><BR>13161 Brayton Drive<BR>Anchorage, Alaska<BR>United States<BR>Phone:&nbsp; 907-348-7890<BR><a href=""http://www.ldschurchtemples.com/anchorage/"">Information</a><BR>"
-171.783034,-13.838064,Apia Samoa Temple,"<a href=""http://www.ldschurchtemples.com/apia/""><img src=""http://www.ldschurchtemples.com/apia/images/apia-mormon-temple-thumb.jpg""></a><BR><BR>Vaitele Street<BR>Pesega, Apia<BR>Samoa<BR>Phone:&nbsp; (685) 64-230<BR><a href=""http://www.ldschurchtemples.com/apia/"">Information</a><BR>"
-71.538135,-16.374534,Arequipa Peru Temple,"<a href=""http://www.ldschurchtemples.com/arequipa/""><img src=""http://www.ldschurchtemples.com/images/mormon-temple-thumb.jpg""></a><BR><BR>Arequipa, Arequipa<BR>Peru<BR>"
-57.602869,-25.287916,AsunciÃ_n Paraguay Temple,"<a href=""http://www.ldschurchtemples.com/asuncion/""><img src=""http://www.ldschurchtemples.com/asuncion/images/asuncion-mormon-temple-thumb.jpg""></a><BR><BR>Esquina Brasilia y EspaÃ±a<BR>AsunciÃ_n<BR>Paraguay<BR>Phone:&nbsp; (595) 21-230-035<BR><a href=""http://www.ldschurchtemples.com/asuncion/"">Information</a><BR>"
-84.362394,33.931896,Atlanta Georgia Temple,"<a href=""http://www.ldschurchtemples.com/atlanta/""><img src=""http://www.ldschurchtemples.com/atlanta/images/atlanta-mormon-temple-thumb.jpg""></a><BR><BR>6450 Barfield Road NE<BR>Sandy Springs, Georgia<BR>United States<BR>Phone:&nbsp; 770-393-3698<BR><a href=""http://www.ldschurchtemples.com/atlanta/"">Information</a><BR>"
-74.863153,11.016461,Barranquilla Colombia Temple,"<a href=""http://www.ldschurchtemples.com/barranquilla/""><img src=""http://www.ldschurchtemples.com/images/mormon-temple-thumb.jpg""></a><BR><BR>Puerto Colombia<BR>Colombia<BR>"
